Date,ConfirmedGrowth,DailyDeaths,DailyHospitalized,DailyTests,Confirmed,Tests,Hospitalized,Deaths,DeathsConfirmed,DeathsProbable,PositivePct,CurrentlyHospitalized,CurrentlyInICU,CurrentlyOnVentilator,Geography,ID Geography,ConfirmedPC,DailyDeathsPC,DeathsPC,DailyTestsPC,TestsPC,DailyHospitalizedPC,HospitalizedPC,ConfirmedGrowthPC,ConfirmedSmooth,ConfirmedPCSmooth,DailyDeathsSmooth,DailyDeathsPCSmooth,DeathsSmooth,DeathsPCSmooth,DailyTestsSmooth,DailyTestsPCSmooth,TestsSmooth,TestsPCSmooth,DailyHospitalizedSmooth,DailyHospitalizedPCSmooth,HospitalizedSmooth,HospitalizedPCSmooth,ConfirmedGrowthSmooth,ConfirmedGrowthPCSmooth,Timestamp
"3/1",16,3,0,75,50,135,,8,",0",",0",37.03703703703704,,,,"United States","01000US",0.015282694437083025,0.0009169616662249815,0.0024452311099332842,0.022924041655624536,0.041263274980124165,,,0.0048904622198665685,361.375,0.11045567404401757,3.25,0.0009933751384103968,19.125,0.005845630622184257,554.25,0.16940866783506534,2411.625,0.7371225594366069,0.25,0.00007641347218541513,3.375,0.0010315818745031042,89.5,0.027356023042378618,1583038800000
"3/2",44,3,0,202,94,337,,11,,",0",27.89317507418398,,,,"United States","01000US",0.028731465541716086,0.0009169616662249815,0.0033621927761582657,0.06174208552581542,0.10300536050593959,,,0.013448771104633063,444.77777777777777,0.1359480574036519,3.3333333333333335,0.0010188462958055351,20.88888888888889,0.006384770120381352,717.7777777777778,0.21939156903012522,2986.5555555555557,0.9128523194985658,0.5555555555555556,0.00016980771596758918,4,0.0012226155549666421,111.22222222222223,0.033995504736711354,1583125200000
"3/3",51,3,0,254,145,591,,14,,",0",24.534686971235196,,,,"United States","01000US",0.044319813867540775,0.0009169616662249815,0.004279154442383247,0.07763608774038176,0.18064144824632136,,,0.015588348325824685,555.4,0.16976016980711822,3.2,0.0009780924439733137,22.5,0.006877212496687361,969,0.29617861819066904,3769.5,1.1521623336116893,0.5,0.00015282694437083026,4.5,0.0013754424993374724,144,0.044014159978799115,1583211600000
"3/4",64,2,0,385,279,1800,4,16,"0,","0,",15.5,,,,"United States","01000US",0.08527743495892329,0.0006113077774833211,0.0048904622198665685,0.11767674716553929,0.5501769997349889,,0.0012226155549666421,0.019561848879466274,691.6363636363636,0.21140134414059572,3.4545454545454546,0.0010558952520166455,24.363636363636363,0.007446840198433183,1281.6363636363637,0.39173713849817543,4810.818181818182,1.470445285301812,0.7272727272727273,0.0002222937372666622,5.181818181818182,0.001583842878024968,176.63636363636363,0.05398959143864058,1583298000000
"3/5",86,4,1,635,367,2516,5,20,",0",",0",14.58664546899841,,,,"United States","01000US",0.1121749771681894,0.0012226155549666421,0.00611307777483321,0.1940902193509544,0.7690251840740179,0.00030565388874166053,0.0015282694437083026,0.026286234431782803,867,0.26500192153901964,3.8333333333333335,0.0011716732401763654,26.583333333333332,0.008125299209049142,1689.8333333333333,0.516504129658616,6193.583333333333,1.8930928310788697,1.0833333333333333,0.0003311250461367989,6.166666666666667,0.00188486564724024,223.75,0.06839005760594653,1583384400000
"3/6",127,6,1,1096,497,3712,6,26,",0",",0",13.389008620689655,,,,"United States","01000US",0.15190998270460526,0.001833923332449963,0.007947001107283172,0.33499666206085993,1.1345872350090438,0.00030565388874166053,0.001833923332449963,0.03881804387019088,1088.6153846153845,0.3327395256516907,3.923076923076923,0.0011991037173711297,28.846153846153847,0.00881693909831713,2149.230769230769,0.656920742418615,7953,2.430865377162426,1.4615384615384615,0.0004467249143147346,7.461538461538462,0.002280648246764698,279.7692307692308,0.0855125533348784,1583470800000
"3/7",133,1,0,869,632,4642,6,27,",0",",0",13.614821197759586,,,,"United States","01000US",0.19317325768472943,0.00030565388874166053,0.008252654996024834,0.265613229316503,1.418845351538788,,0.001833923332449963,0.040651967202640846,1348.7142857142858,0.4122397662300024,4.214285714285714,0.0012881128168398552,31.357142857142858,0.009584432654113498,2451.3571428571427,0.7492668434089319,9916.714285714286,3.03108228496855,1.6428571428571428,0.0005021456743612994,8.857142857142858,0.0027072201574261357,329.92857142857144,0.10084395086412355,1583557200000
"3/8",195,4,0,918,827,5560,6,31,",0",",0",14.87410071942446,,,,"United States","01000US",0.25277576598935325,0.0012226155549666421,0.009475270550991476,0.28059026986484437,1.6994356214036324,,0.001833923332449963,0.0596025083046238,1653.4,0.5053681396454615,4.933333333333334,0.001507892517792192,34.53333333333333,0.010555247624545343,2837.4666666666667,0.8672827208415036,12168.133333333333,3.7192372720603575,2.2,0.0006724385552316531,10.733333333333333,0.0032806850724938228,387.2,0.11834918572077094,1583643600000
"3/9",285,4,3,2026,1112,7586,9,35,",0",",0",14.658581597679937,,,,"United States","01000US",0.3398871242807265,0.0012226155549666421,0.010697886105958117,0.6192547785906042,2.3186903999942365,0.0009169616662249815,0.0027508849986749447,0.08711135829137324,2168.5333333333333,0.6628206461992489,6.133333333333334,0.0018746771842821845,40.666666666666664,0.012429924808827524,4227.733333333334,1.2922231338960761,16469.666666666668,5.034017662945568,2.6,0.0007947001107283173,13.6,0.004156892886886583,509.4,0.15570009092500184,1583726400000
"3/10",439,2,0,3230,1551,10816,9,37,",0",",0",14.339866863905327,,,,"United States","01000US",0.47406918143831545,0.0006113077774833211,0.011309193883441438,0.9872620606355634,3.3059524606298,,0.0027508849986749447,0.13418205715758896,2830.4666666666667,0.865143143620312,7.666666666666667,0.0023433464803527307,48.333333333333336,0.014773271289180257,5484.6,1.6763893181925114,22028.066666666666,6.732964238127214,4.8,0.0014671386659599703,18.666666666666668,0.005705539256510996,656.2,0.20057008179227764,1583812800000
